Partial Chi > 50

38	2	4.1514	0.266	107.203

39	2	4.18	0.237	230.811

40	2	4.2	0.22	67.9174

209	4	4.0502	0.271	87.3013

212	4	4.1514	0.266	148.269

213	4	4.18	0.237	95.5414

215	4	4.2539	0.247	160.157

216	4	4.3577	0.252	206.884

219	4	4.4627	0.247	182.85

222	4	4.8	0.19	74.7406

223	4	4.84	0.179	70.0749

224	4	4.8952	0.173	171.607

225	4	4.9836	0.161	144.374

234	4	5.76	0.1007	68.8979

237	4	6.1256	0.091	56.5007

239	4	6.3756	0.084	88.3635

252	4	8.84	0.0417	96.1906

256	4	9.3025	0.0329	142.482

257	4	9.3636	0.0303	102.017

259	4	9.4864	0.0311	230.014

282	4	14.228	0.0088	78.1852

287	4	17.3889	0.0076	90.8774

309	6	3.64	0.45	281.349

310	6	3.69	0.39	898.198

311	6	4	0.29	495.525

314	7	-6	-0.0195	57.422

349	8	3.64	0.45	272.163

350	8	3.69	0.39	861.257

351	8	4	0.29	522.247

352	8	4.41	0.34	90.1703

360	9	-4.75	0.382	58.2752

434	2	-0.0433	0.8767	50.3

435	2	-0.0473	0.8657	71.3132

440	2	-0.058	0.8419	64.4636

442	2	-0.0625	0.8326	62.6708

443	2	-0.0648	0.8274	83.488

444	2	-0.0672	0.8213	51.6503

445	2	-0.0695	0.8162	82.0676

446	2	-0.0711	0.8115	146.381

447	2	-0.0742	0.8033	203.832

448	2	-0.0773	0.7968	200.07

449	2	-0.0805	0.7909	329.854

450	2	-0.0837	0.7858	227.736

456	2	-0.112	0.7272	98.5622

463	2	-0.149	0.6676	53.8626

473	2	-0.1997	0.5931	57.2414

474	2	-0.2051	0.5831	95.4354

525	4	-0.0773	2.2861	77.1164

526	4	-0.0805	2.2611	84.4688

570	4	-0.5524	0.9108	84.0837
Chi2: 12763.4
