% $Id$
% G_E proton data: space-like
# Type=1
%-1.9469	0.0722	0.0126	0.0126
%-1.7522	0.0685	0.0101	0.0101
%-1.7522	0.0712	0.0064	0.0064
%-1.7500	0.0713	0.0064	0.0064
%-1.5575	0.0863	0.0085	0.0085
%-1.3628	0.1113	0.0084	0.0084
%-1.3500	0.1140	0.0053	0.0053
%-1.1681	0.1310	0.0092	0.0092
%-1.1681	0.1307	0.0047	0.0047
%-1.1000	0.1407	0.0050	0.0050
%-0.9734	0.1761	0.0083	0.0083
%-0.9400	0.1957	0.0077	0.0077
%-0.7800	0.2170	0.0065	0.0065
%-0.7788	0.2183	0.0082	0.0082
%-0.7788	0.2174	0.0065	0.0065
%-0.7200	0.2700	0.0172	0.0172
%-0.6500	0.2650	0.0115	0.0115
%-0.5841	0.2935	0.0083	0.0083
%-0.5841	0.2926	0.0041	0.0041
%-0.5800	0.2944	0.0042	0.0042
-0.5300	0.3271	0.0113	0.0113
-0.4500	0.3748	0.0095	0.0095
-0.3900	0.4142	0.0049	0.0049
-0.3894	0.3969	0.0134	0.0134
-0.3894	0.4147	0.0050	0.0050
-0.3300	0.4465	0.0049	0.0049
-0.2726	0.5004	0.0070	0.0070
-0.2700	0.5030	0.0070	0.0070
-0.1900	0.6058	0.0050	0.0050
-0.1300	0.6935	0.0079	0.0079
-0.1160	0.7253	0.0221	0.0221
-0.0778	0.7842	0.0115	0.0115
-0.0545	0.8466	0.0034	0.0034
-0.0467	0.8637	0.0052	0.0052
-0.0389	0.8839	0.0071	0.0071
-0.0389	0.8809	0.0085	0.0085
-0.0350	0.9023	0.0033	0.0033
-0.0331	0.9043	0.0029	0.0029
-0.0312	0.9064	0.0024	0.0024
-0.0273	0.9165	0.0032	0.0032
-0.0253	0.9246	0.0017	0.0017
-0.0234	0.9320	0.0028	0.0028
-0.0214	0.9353	0.0015	0.0015
-0.0195	0.9428	0.0029	0.0029
-0.0175	0.9463	0.0015	0.0015
-0.0156	0.9511	0.0048	0.0048
-0.0136	0.9612	0.0021	0.0021
-0.0117	0.9619	0.0041	0.0041
-0.0097	0.9722	0.0021	0.0021
-0.0078	0.9767	0.0024	0.0024
-0.0055	0.9858	0.0022	0.0022
% G_E proton data: time-like
# Type=2
3.5200	0.5300	0.0400	0.0600
3.5210	0.5100	0.0600	0.0600
3.5269	0.5740	0.0710	0.0810
3.5438	0.4950	0.0470	0.0520
3.5500	0.3900	0.0500	0.0500
3.5627	0.3900	0.0450	0.0500
3.5664	0.4530	0.0230	0.0250
3.5700	0.3400	0.0400	0.0400
3.5816	0.4190	0.0410	0.0450
3.6000	0.3100	0.0300	0.0300
3.6005	0.3980	0.0400	0.0440
3.6100	0.4200	0.1400	0.0800
3.6100	0.4100	0.1100	0.0900
3.6195	0.3990	0.0410	0.0460
3.6386	0.3260	0.0400	0.0460
3.6577	0.3970	0.0360	0.0400
3.6577	0.3540	0.0170	0.0170
3.6864	0.3210	0.0240	0.0260
3.6900	0.2810	0.0140	0.0140
3.6900	0.3600	0.0500	0.0500
3.7297	0.3130	0.0200	0.0220
3.7539	0.3050	0.0150	0.0150
3.7600	0.2550	0.0130	0.0130
3.7636	0.3937	0.0597	0.0597
3.7782	0.2980	0.0200	0.0210
3.8269	0.2700	0.0210	0.0220
3.8300	0.2490	0.0100	0.0100
3.8514	0.2760	0.0140	0.0150
3.8760	0.2800	0.0190	0.0200
3.8987	0.2490	0.0803	0.0803
3.9400	0.2460	0.0110	0.0110
3.9502	0.2660	0.0140	0.0150
4.0000	0.2600	0.0300	0.0300
4.0000	0.2400	0.0300	0.0300
4.0000	0.1750	0.0673	0.0553
4.0502	0.2730	0.0130	0.0140
4.1250	0.2646	0.0340	0.0340
4.1250	0.2074	0.0362	0.0362
4.1514	0.2500	0.0130	0.0140
4.1800	0.2370	0.0090	0.0090
4.2000	0.2200	0.0200	0.0200
% G_M proton data: space-like
# Type=3
-31.200	0.0010	0.0001	0.0001
-26.990	0.0013	0.0001	0.0001
-23.240	0.0018	0.0001	0.0001
-19.470	0.0025	0.0001	0.0001
-15.720	0.0043	0.0001	0.0001
-11.990	0.0076	0.0002	0.0002
-9.7000	0.0114	0.0013	0.0013
-9.6290	0.0117	0.0003	0.0003
-8.8300	0.0142	0.0004	0.0004
-7.3000	0.0208	0.0004	0.0004
-7.0000	0.0227	0.0006	0.0006
-7.0000	0.0227	0.0004	0.0004
-6.0000	0.0308	0.0007	0.0007
-6.0000	0.0309	0.0005	0.0005
-5.1787	0.0410	0.0028	0.0028
-5.0270	0.0420	0.0008	0.0008
-5.0170	0.0429	0.0008	0.0008
-5.0000	0.0437	0.0009	0.0009
-5.0000	0.0437	0.0006	0.0006
-4.9910	0.0438	0.0009	0.0009
-4.0000	0.0649	0.0013	0.0013
-4.0000	0.0654	0.0008	0.0008
-3.6210	0.0769	0.0017	0.0017
-3.2500	0.0938	0.0012	0.0012
-3.0070	0.1031	0.0025	0.0025
-3.0000	0.1080	0.0024	0.0024
-3.0000	0.1067	0.0021	0.0021
-2.9982	0.1090	0.0016	0.0016
-2.8620	0.1129	0.0022	0.0022
-2.5000	0.1432	0.0028	0.0028
-2.5000	0.1440	0.0016	0.0016
-2.4970	0.1410	0.0029	0.0029
-2.3986	0.1540	0.0020	0.0020
-2.3300	0.1620	0.0036	0.0036
-2.0030	0.1940	0.0041	0.0041
-2.0014	0.2040	0.0027	0.0027
-2.0000	0.2020	0.0040	0.0040
-2.0000	0.1984	0.0042	0.0042
-1.9469	0.2056	0.0086	0.0086
-1.7522	0.2488	0.0069	0.0069
-1.7522	0.2480	0.0027	0.0027
-1.7522	0.2520	0.0028	0.0028
-1.7500	0.2484	0.0026	0.0026
-1.7500	0.2460	0.0052	0.0052
-1.7500	0.2452	0.0049	0.0049
-1.7500	0.2443	0.0032	0.0032
-1.5575	0.2910	0.0073	0.0073
-1.5575	0.2910	0.0041	0.0041
-1.5000	0.2980	0.0092	0.0092
-1.5000	0.2998	0.0064	0.0064
-1.3628	0.3407	0.0086	0.0086
-1.3628	0.3470	0.0069	0.0069
-1.3500	0.3523	0.0034	0.0034
-1.2500	0.3793	0.0078	0.0078
-1.1690	0.4100	0.0086	0.0086
-1.1681	0.4050	0.0168	0.0168
-1.1681	0.4189	0.0104	0.0104
-1.1681	0.4202	0.0034	0.0034
-1.1681	0.4180	0.0046	0.0046
-1.1000	0.4523	0.0035	0.0035
-1.0903	0.4469	0.0168	0.0168
-1.0124	0.4971	0.0140	0.0140
-1.0000	0.4900	0.0142	0.0142
-1.0000	0.4921	0.0103	0.0103
-1.0000	0.4897	0.0156	0.0156
-0.9890	0.5010	0.0055	0.0055
-0.9734	0.5049	0.0121	0.0121
-0.9400	0.5235	0.0057	0.0057
-0.8566	0.6256	0.0195	0.0195
-0.7800	0.6465	0.0062	0.0062
-0.7788	0.6619	0.0279	0.0279
-0.7788	0.6393	0.0146	0.0146
-0.7788	0.6477	0.0065	0.0065
-0.7788	0.6460	0.0071	0.0071
-0.7500	0.6691	0.0138	0.0138
-0.7398	0.6842	0.0223	0.0223
