1, "t_1s", 2.690327856, 0.00001, 1.01, 2.8
2, "t_1v", 2.358215382, 0.00001, 1.6, 2.6
3, "t_2s", 2.395583933, 0.00001, 2.02, 2.8
4, "t_2v", 2.55421573, 0.00001, 1.6, 2.8
5, "f_Om", 0.8422698464, 0.00001, -1.01, 1.01
6, "f_Ph", -0.5236109227, 0.00001, -1.01, 1.01
7, "f_Om1", 0.1502689883, 0.00001, 0.1, 0.5
8, "f_Ph1", 0.0705985861, 0.00001, -0.2, 1.01
9, "f_Rh", 0.5198826855, 0.00001, -0.6, 1.01
10, "f_Om_T", 1.747970201, 0.00001, 0.01, 1.9
11, "f_Ph_T", -0.7915602341, 0.00001, -1.7, 0.01
12, "f_Ph1_T", 0.1108658903, 0.00001, -0.25, 0.255
